id	en_sentence	ta_sentence	offense_label	en_pos	en_dep	ta_pos	ta_dep
1	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PROPN VERB PART PROPN	cop compound vocative root	NOUN ADV VERB	advmod obj root
2	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PROPN	nsubj root det vocative	ADJ VERB PROPN VERB	det root det root
3	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PART	nsubj root det advmod	DET VERB PART VERB	det root obj root
4	Sure, that will definitely work 🙄	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	DET DET AUX NOUN ADV ADP	compound det aux amod cop amod	VERB VERB PART VERB VERB	root root compound root root
5	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX PRON ADJ AUX	det aux cop amod nsubj	VERB DET DET	obj case advmod
6	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADV VERB DET	nsubj nsubj root obj	ADJ VERB VERB	obj nsubj root
7	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET AUX	nsubj root det case	PART VERB PROPN VERB	obj nsubj obj root
8	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADJ ADJ AUX DET	punct nsubj root punct	ADP NOUN ADJ	det nsubj obj
9	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON NOUN	nsubj nsubj
10	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON VERB VERB PART	nsubj punct root punct	ADJ VERB VERB	compound obj root
11	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON AUX VERB INTJ	nsubj root root compound	ADJ VERB VERB	case obj root
12	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADP AUX ADJ	nsubj aux amod det det	PRON VERB PART ADP	obj obj obj nsubj
13	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADJ AUX AUX NOUN	cop nsubj aux amod	PRON VERB ADJ VERB	obj obj nsubj root
14	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADV VERB PART INTJ	root root advmod compound	PART VERB	obj root
15	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	PRON VERB PROPN VERB NOUN	nsubj root vocative root case	NOUN ADV VERB NOUN	case amod root nsubj
16	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX VERB ADJ ADV	det aux advmod amod obj	VERB DET PROPN	nsubj nsubj compound
17	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON DET	obj det
18	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET DET	nsubj root det advmod	DET VERB PART VERB	case nsubj advmod root
19	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PROPN PART AUX PART	obj nsubj obj punct	ADP ADV VERB	advmod nsubj root
20	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	ADV PART AUX	vocative case advmod	DET ADV ADP	case obj advmod
21	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	ADV VERB PRON AUX ADJ	cop root nsubj aux amod	PRON VERB PROPN VERB VERB	obj obj compound root root
22	We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	PRON AUX VERB PRON VERB	nsubj aux root nsubj root	PRON PROPN VERB	nsubj advmod root
23	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PROPN ADV PRON PROPN	case obj amod nsubj	ADP ADV VERB	case det root
24	What a silly comment, got it?	எவ்வளவு பேதையான கருத்து	profanity	PRON AUX PRON NOUN NOUN ADP	amod root vocative case vocative vocative	ADP ADV VERB	compound nsubj root
25	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	PART PRON AUX PRON AUX	compound root amod nsubj aux	PRON PART PART PART	obj case det compound
26	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON VERB VERB PART	nsubj case root cop	ADP VERB VERB	nsubj obj root
27	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET INTJ AUX NOUN ADJ	det cop aux vocative amod	VERB NOUN VERB VERB	nsubj obj root root
28	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV ADV PRON ADP	nsubj advmod amod advmod obj	PRON VERB ADV DET	nsubj obj det compound
29	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PRON	nsubj root det root	PART VERB PROPN VERB	amod nsubj obj root
30	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PART PROPN AUX ADP	case obj case compound	ADV ADP VERB	compound det root
